epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,8872.03,0.78887,0.37206,0.00196,0.92457,0.83822,0.92082,0.68883,0.72315,0.35194,0.00374,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,9003.76,0.79262,0.37422,0.00193,0.92025,0.8509,0.92239,0.68852,0.71876,0.35185,0.0037,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,9135.68,0.77549,0.36698,0.0019,0.89506,0.87169,0.92335,0.69045,0.72096,0.35355,0.00371,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,9267.38,0.775,0.36517,0.0019,0.91913,0.84393,0.92103,0.68931,0.71629,0.35225,0.0037,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,9398.53,0.76794,0.36203,0.00189,0.91168,0.84972,0.92007,0.69066,0.71484,0.35439,0.00371,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,9529.53,0.76562,0.36049,0.00184,0.92975,0.83942,0.92473,0.69209,0.71338,0.35442,0.00368,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,9660.4,0.75831,0.35456,0.00186,0.91122,0.8556,0.92304,0.68898,0.71306,0.35229,0.00365,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,9791.43,0.75586,0.35506,0.00183,0.91923,0.84653,0.92444,0.69245,0.70783,0.35018,0.00364,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9922.4,0.75243,0.35426,0.00182,0.91285,0.8522,0.92674,0.6938,0.70661,0.34828,0.00362,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,10053.3,0.75225,0.3522,0.0018,0.90497,0.8503,0.92355,0.69763,0.70484,0.3451,0.00361,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,10184.3,0.73994,0.34401,0.00179,0.91482,0.85583,0.92587,0.69992,0.7027,0.34155,0.00362,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,10315.1,0.73587,0.34094,0.00178,0.92056,0.84824,0.92778,0.69883,0.69867,0.34336,0.00361,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,10446.5,0.73061,0.34105,0.00176,0.92418,0.86176,0.92854,0.70172,0.69704,0.3423,0.0036,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,10577.9,0.72906,0.34229,0.00175,0.92007,0.85981,0.92482,0.702,0.69852,0.34272,0.00361,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,10709.2,0.71933,0.33778,0.00174,0.91679,0.85961,0.9249,0.70288,0.695,0.33978,0.00358,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,10840.9,0.72683,0.33866,0.00172,0.91281,0.8651,0.92791,0.7028,0.6948,0.33708,0.00358,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10972.6,0.71937,0.33388,0.00172,0.90595,0.85692,0.92478,0.70297,0.69507,0.3432,0.00358,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,11104.2,0.70887,0.32724,0.00169,0.93322,0.83847,0.92639,0.70043,0.69309,0.33646,0.00357,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,11235.6,0.7079,0.32738,0.00169,0.92461,0.84528,0.92757,0.70022,0.69476,0.33486,0.00357,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11366.7,0.70779,0.32723,0.00168,0.91559,0.85349,0.92759,0.70007,0.69017,0.33429,0.00356,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,11497.9,0.69801,0.31988,0.00166,0.92161,0.84942,0.92575,0.7022,0.68919,0.33158,0.00355,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,11629.6,0.69977,0.32413,0.00164,0.95419,0.82762,0.92696,0.70401,0.68964,0.32978,0.00356,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,11761.4,0.69386,0.32178,0.00165,0.92801,0.8442,0.92654,0.7035,0.68791,0.33257,0.00355,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,11893.5,0.69244,0.32035,0.00163,0.923,0.85996,0.92936,0.70533,0.68748,0.32939,0.00353,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,12034.4,0.63957,0.2788,0.00165,0.91146,0.85552,0.92418,0.6977,0.69438,0.33159,0.00356,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,12163.9,0.62423,0.27028,0.00158,0.91759,0.85913,0.92641,0.69867,0.69692,0.33591,0.00358,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,12292.8,0.61531,0.26723,0.00155,0.92608,0.84997,0.92693,0.70115,0.69643,0.33781,0.00358,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,12422.6,0.61307,0.26653,0.00152,0.92687,0.84691,0.9275,0.70077,0.69352,0.33886,0.00356,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,12553.6,0.60527,0.2608,0.0015,0.92354,0.85572,0.92679,0.69973,0.69245,0.33844,0.00356,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,12683.4,0.5954,0.25688,0.00149,0.92678,0.84547,0.92287,0.70064,0.69074,0.33938,0.00355,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,12813.8,0.59258,0.2575,0.00146,0.92822,0.84704,0.92497,0.7014,0.69008,0.33899,0.00354,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,12944,0.58772,0.25407,0.00144,0.9264,0.84637,0.92505,0.70141,0.68847,0.33919,0.00353,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,13074.3,0.58154,0.24998,0.00143,0.92645,0.85342,0.92472,0.70193,0.68822,0.33855,0.00353,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,13204,0.57933,0.24833,0.00143,0.92404,0.84976,0.92534,0.70205,0.68799,0.33987,0.00353,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
